Location,Variable,Value,Expected Value
equation_selection,Use_DNDF_IV,0,"int (0, 1 or 2)"
equation_selection,DMIn_eqn,0,int (0-17)
equation_selection,mProd_eqn,0,int
equation_selection,Monensin_eqn,1,int
user_diet,Canola meal,2.4,float
user_diet,"Corn grain HM, coarse grind",0.46,float
user_diet,"Corn silage, typical",4.6,float
user_diet,Soybean hulls,0.25,float
user_diet,Wheat straw,3.4,float
animal_input,An_Parity_rl,0,int
animal_input,Trg_MilkProd,0,float
animal_input,An_BW,725,float
animal_input,An_BCS,3,float
animal_input,An_LactDay,0,int
animal_input,Trg_MilkFatp,0,float
animal_input,Trg_MilkTPp,0,float
animal_input,Trg_MilkLacp,0,float
animal_input,Trg_Dt_DMIn,11.11,float
animal_input,An_BW_mature,700,float
animal_input,Trg_FrmGain,0,float
animal_input,An_GestDay,265,int
animal_input,An_GestLength,280,int
animal_input,Trg_RsrvGain,0,float
animal_input,Fet_BWbrth,44.1,float
animal_input,An_AgeDay,1764,int
animal_input,An_305RHA_MlkTP,0,float
animal_input,An_StatePhys,Dry Cow,str
animal_input,An_Breed,Holstein,str (Holstein or Jersey)
